system,attack_type,scenario_group,attack_case,mode,attack_profile,status,decision,error,latency_ms,unauthorized_success,expected_reject,invariant_violated
userspace,replay,B,cross_tool_ticket_reuse,userspace,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),1.518,0,1,0
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,3.61,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,1.772,1,1,1
userspace,replay,B,forged_approval_ticket,userspace,tamper_approval,ok,ALLOW,,2.021,1,1,1
userspace,replay,B,cross_agent_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,1.942,1,1,1
userspace,replay,B,cross_tool_ticket_reuse,userspace,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),1.254,0,1,0
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,2.407,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,3.058,1,1,1
userspace,replay,B,forged_approval_ticket,userspace,tamper_approval,ok,ALLOW,,2.134,1,1,1
userspace,replay,B,cross_agent_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,2.271,1,1,1
userspace,replay,B,cross_tool_ticket_reuse,userspace,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),1.698,0,1,0
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,3.512,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,1.892,1,1,1
userspace,replay,B,forged_approval_ticket,userspace,tamper_approval,ok,ALLOW,,2.024,1,1,1
userspace,replay,B,cross_agent_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,2.175,1,1,1
userspace,replay,B,cross_tool_ticket_reuse,userspace,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),1.244,0,1,0
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,2.442,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,1.765,1,1,1
userspace,replay,B,forged_approval_ticket,userspace,tamper_approval,ok,ALLOW,,3.578,1,1,1
userspace,replay,B,cross_agent_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,1.968,1,1,1
userspace,replay,B,cross_tool_ticket_reuse,userspace,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),2.608,0,1,0
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,2.164,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,1.918,1,1,1
userspace,replay,B,forged_approval_ticket,userspace,tamper_approval,ok,ALLOW,,2.163,1,1,1
userspace,replay,B,cross_agent_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,2.639,1,1,1
userspace,replay,B,cross_tool_ticket_reuse,userspace,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),6.842,0,1,0
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,2.827,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,2.574,1,1,1
userspace,replay,B,forged_approval_ticket,userspace,tamper_approval,ok,ALLOW,,1.808,1,1,1
userspace,replay,B,cross_agent_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,5.844,1,1,1
userspace,replay,B,cross_tool_ticket_reuse,userspace,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),2.24,0,1,0
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,3.767,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,1.216,1,1,1
userspace,replay,B,forged_approval_ticket,userspace,tamper_approval,ok,ALLOW,,1.597,1,1,1
userspace,replay,B,cross_agent_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,1.485,1,1,1
userspace,replay,B,cross_tool_ticket_reuse,userspace,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),1.975,0,1,0
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,2.47,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,2.461,1,1,1
userspace,replay,B,forged_approval_ticket,userspace,tamper_approval,ok,ALLOW,,2.777,1,1,1
userspace,replay,B,cross_agent_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,1.616,1,1,1
userspace,replay,B,cross_tool_ticket_reuse,userspace,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),3.95,0,1,0
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,3.158,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,2.089,1,1,1
userspace,replay,B,forged_approval_ticket,userspace,tamper_approval,ok,ALLOW,,1.95,1,1,1
userspace,replay,B,cross_agent_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,1.861,1,1,1
userspace,replay,B,cross_tool_ticket_reuse,userspace,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),1.505,0,1,0
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,4.515,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,3.148,1,1,1
userspace,replay,B,forged_approval_ticket,userspace,tamper_approval,ok,ALLOW,,1.744,1,1,1
userspace,replay,B,cross_agent_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,4.13,1,1,1
userspace,replay,B,cross_tool_ticket_reuse,userspace,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),2.504,0,1,0
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,2.33,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,1.556,1,1,1
userspace,replay,B,forged_approval_ticket,userspace,tamper_approval,ok,ALLOW,,2.435,1,1,1
userspace,replay,B,cross_agent_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,5.231,1,1,1
