system,agents,concurrency,runs,measurement_seconds,requests_mean,errors_mean,throughput_rps,throughput_rps_std,throughput_rps_ci_lo,throughput_rps_ci_hi,error_rate,error_rate_std,error_rate_ci_lo,error_rate_ci_hi,latency_avg_ms,latency_avg_ms_std,latency_avg_ms_ci_lo,latency_avg_ms_ci_hi,latency_p50_ms,latency_p50_ms_std,latency_p50_ms_ci_lo,latency_p50_ms_ci_hi,latency_p95_ms,latency_p95_ms_std,latency_p95_ms_ci_lo,latency_p95_ms_ci_hi,latency_p99_ms,latency_p99_ms_std,latency_p99_ms_ci_lo,latency_p99_ms_ci_hi,throughput_pvalue_vs_userspace,latency_p95_pvalue_vs_userspace
seccomp,1,1,2,4.0,1717.5,0.0,429.375,36.593,378.66,480.09,0.0,0.0,0.0,0.0,2.324,0.202,2.044,2.603,1.853,0.134,1.667,2.038,4.538,0.31,4.108,4.969,6.9,0.222,6.592,7.208,0.006151,0.000983
seccomp,1,10,2,4.0,1954.5,0.0,488.625,6.541,479.56,497.69,0.0,0.0,0.0,0.0,20.379,0.287,19.981,20.777,18.952,0.225,18.64,19.264,34.903,0.663,33.984,35.821,59.059,1.675,56.738,61.381,0.131383,0.232741
seccomp,1,50,2,4.0,2016.5,0.0,504.125,8.309,492.61,515.64,0.0,0.0,0.0,0.0,98.512,1.416,96.549,100.474,95.178,2.562,91.627,98.728,186.296,6.151,177.77,194.821,243.346,15.884,221.333,265.36,0.451037,0.767183
seccomp,1,100,2,4.0,2025.5,0.0,506.375,0.884,505.15,507.6,0.0,0.0,0.0,0.0,195.3,0.248,194.957,195.644,192.038,0.404,191.479,192.598,383.168,3.853,377.828,388.509,434.866,9.977,421.04,448.693,0.157645,0.036949
seccomp,5,1,2,4.0,1757.0,0.0,439.25,20.86,410.34,468.16,0.0,0.0,0.0,0.0,2.268,0.107,2.12,2.415,1.806,0.061,1.722,1.89,4.445,0.181,4.194,4.696,6.772,0.661,5.856,7.689,0.324466,0.524243
seccomp,5,10,2,4.0,1938.5,0.0,484.625,5.48,477.03,492.22,0.0,0.0,0.0,0.0,20.585,0.2,20.308,20.863,19.163,0.221,18.856,19.469,34.858,0.303,34.439,35.277,59.158,1.187,57.514,60.802,0.929296,0.608781
seccomp,5,50,2,4.0,1983.0,0.0,495.75,20.506,467.33,524.17,0.0,0.0,0.0,0.0,100.87,4.289,94.925,106.815,98.186,0.998,96.802,99.57,190.337,5.023,183.376,197.297,242.231,21.45,212.503,271.96,0.515573,0.654924
seccomp,5,100,2,4.0,1937.5,0.0,484.375,9.369,471.39,497.36,0.0,0.0,0.0,0.0,205.475,6.401,196.604,214.346,203.379,8.601,191.458,215.3,401.442,14.67,381.11,421.775,468.837,7.876,457.92,479.753,0.520441,0.506327
seccomp,10,1,2,4.0,1740.0,0.0,435.0,16.617,411.97,458.03,0.0,0.0,0.0,0.0,2.289,0.089,2.166,2.412,1.828,0.063,1.74,1.915,4.416,0.091,4.291,4.541,6.973,0.54,6.226,7.721,0.250568,0.519467
seccomp,10,10,2,4.0,1907.0,0.0,476.75,6.364,467.93,485.57,0.0,0.0,0.0,0.0,20.948,0.279,20.562,21.334,19.614,0.175,19.372,19.857,34.984,0.851,33.806,36.163,61.994,2.7,58.252,65.736,0.010494,0.03819
seccomp,10,50,2,4.0,1956.0,0.0,489.0,10.607,474.3,503.7,0.0,0.0,0.0,0.0,101.607,2.192,98.569,104.645,98.74,3.338,94.114,103.366,195.23,9.06,182.673,207.786,252.827,17.369,228.756,276.899,0.009761,0.00796
