system,attack_type,scenario_group,attack_case,mode,attack_profile,status,decision,error,latency_ms,unauthorized_success,expected_reject,invariant_violated
userspace,replay,B,cross_tool_ticket_reuse,userspace,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),2.864,0,1,0
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,1.968,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,2.82,1,1,1
userspace,replay,B,forged_approval_ticket,userspace,tamper_approval,ok,ALLOW,,1.793,1,1,1
userspace,replay,B,cross_agent_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,1.996,1,1,1
userspace,replay,B,cross_tool_ticket_reuse,userspace,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),1.492,0,1,0
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,2.41,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,3.918,1,1,1
userspace,replay,B,forged_approval_ticket,userspace,tamper_approval,ok,ALLOW,,2.046,1,1,1
userspace,replay,B,cross_agent_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,2.235,1,1,1
userspace,replay,B,cross_tool_ticket_reuse,userspace,tamper_approval,error,ALLOW,no GUI session available (DISPLAY/WAYLAND_DISPLAY unset),2.174,0,1,0
userspace,replay,B,expired_ticket_replay,userspace,tamper_approval,ok,ALLOW,,2.434,1,1,1
userspace,replay,B,denied_ticket_reuse,userspace,tamper_approval,ok,ALLOW,,1.91,1,1,1
userspace,substitute,C,hash_mismatch,userspace,tamper_metadata,ok,ALLOW,,2.784,1,1,1
userspace,substitute,C,wrong_app_binding,userspace,tamper_metadata,ok,ALLOW,,1.656,1,1,1
userspace,substitute,C,stale_catalog_replay,userspace,tamper_metadata,ok,ALLOW,,1.276,1,1,1
userspace,substitute,C,hash_mismatch,userspace,tamper_metadata,ok,ALLOW,,3.006,1,1,1
userspace,substitute,C,wrong_app_binding,userspace,tamper_metadata,ok,ALLOW,,2.075,1,1,1
userspace,substitute,C,stale_catalog_replay,userspace,tamper_metadata,ok,ALLOW,,3.103,1,1,1
userspace,substitute,C,hash_mismatch,userspace,tamper_metadata,ok,ALLOW,,1.651,1,1,1
userspace,substitute,C,wrong_app_binding,userspace,tamper_metadata,ok,ALLOW,,1.796,1,1,1
userspace,substitute,C,stale_catalog_replay,userspace,tamper_metadata,ok,ALLOW,,1.95,1,1,1
userspace,substitute,C,hash_mismatch,userspace,tamper_metadata,ok,ALLOW,,1.232,1,1,1
userspace,substitute,C,wrong_app_binding,userspace,tamper_metadata,ok,ALLOW,,1.172,1,1,1
userspace,substitute,C,stale_catalog_replay,userspace,tamper_metadata,ok,ALLOW,,1.169,1,1,1
userspace,substitute,C,hash_mismatch,userspace,tamper_metadata,ok,ALLOW,,1.41,1,1,1
userspace,substitute,C,wrong_app_binding,userspace,tamper_metadata,ok,ALLOW,,1.193,1,1,1
userspace,substitute,C,stale_catalog_replay,userspace,tamper_metadata,ok,ALLOW,,1.768,1,1,1
userspace,substitute,C,hash_mismatch,userspace,tamper_metadata,ok,ALLOW,,1.443,1,1,1
userspace,substitute,C,wrong_app_binding,userspace,tamper_metadata,ok,ALLOW,,1.521,1,1,1
userspace,substitute,C,stale_catalog_replay,userspace,tamper_metadata,ok,ALLOW,,1.252,1,1,1
userspace,substitute,C,hash_mismatch,userspace,tamper_metadata,ok,ALLOW,,1.318,1,1,1
userspace,substitute,C,wrong_app_binding,userspace,tamper_metadata,ok,ALLOW,,1.931,1,1,1
userspace,substitute,C,stale_catalog_replay,userspace,tamper_metadata,ok,ALLOW,,1.439,1,1,1
userspace,substitute,C,hash_mismatch,userspace,tamper_metadata,ok,ALLOW,,1.947,1,1,1
userspace,substitute,C,wrong_app_binding,userspace,tamper_metadata,ok,ALLOW,,2.097,1,1,1
userspace,substitute,C,stale_catalog_replay,userspace,tamper_metadata,ok,ALLOW,,1.634,1,1,1
userspace,substitute,C,hash_mismatch,userspace,tamper_metadata,ok,ALLOW,,1.445,1,1,1
userspace,substitute,C,wrong_app_binding,userspace,tamper_metadata,ok,ALLOW,,1.574,1,1,1
userspace,substitute,C,stale_catalog_replay,userspace,tamper_metadata,ok,ALLOW,,2.079,1,1,1
userspace,substitute,C,hash_mismatch,userspace,tamper_metadata,ok,ALLOW,,2.01,1,1,1
userspace,substitute,C,wrong_app_binding,userspace,tamper_metadata,ok,ALLOW,,1.369,1,1,1
userspace,substitute,C,stale_catalog_replay,userspace,tamper_metadata,ok,ALLOW,,1.206,1,1,1
userspace,substitute,C,hash_mismatch,userspace,tamper_metadata,ok,ALLOW,,1.116,1,1,1
userspace,substitute,C,wrong_app_binding,userspace,tamper_metadata,ok,ALLOW,,1.549,1,1,1
userspace,substitute,C,stale_catalog_replay,userspace,tamper_metadata,ok,ALLOW,,1.325,1,1,1
userspace,substitute,C,hash_mismatch,userspace,tamper_metadata,ok,ALLOW,,2.002,1,1,1
userspace,substitute,C,wrong_app_binding,userspace,tamper_metadata,ok,ALLOW,,5.529,1,1,1
userspace,substitute,C,stale_catalog_replay,userspace,tamper_metadata,ok,ALLOW,,2.675,1,1,1
userspace,substitute,C,hash_mismatch,userspace,tamper_metadata,ok,ALLOW,,1.44,1,1,1
userspace,substitute,C,wrong_app_binding,userspace,tamper_metadata,ok,ALLOW,,1.586,1,1,1
userspace,substitute,C,stale_catalog_replay,userspace,tamper_metadata,ok,ALLOW,,1.22,1,1,1
userspace,substitute,C,hash_mismatch,userspace,tamper_metadata,ok,ALLOW,,1.595,1,1,1
userspace,substitute,C,wrong_app_binding,userspace,tamper_metadata,ok,ALLOW,,1.37,1,1,1
userspace,substitute,C,stale_catalog_replay,userspace,tamper_metadata,ok,ALLOW,,1.811,1,1,1
userspace,substitute,C,hash_mismatch,userspace,tamper_metadata,ok,ALLOW,,1.588,1,1,1
userspace,substitute,C,wrong_app_binding,userspace,tamper_metadata,ok,ALLOW,,1.89,1,1,1
