sample_index,bare_rtt_ms,full_rtt_ms,lookup_overhead_ms
380,0.008292,0.006833,-0.001459
381,0.00825,0.006875,-0.001375
382,0.008209,0.006792,-0.001417
383,0.008417,0.006792,-0.001625
384,0.00825,0.006708,-0.001542
385,0.008334,0.006791,-0.001543
386,0.00825,0.00675,-0.0015
387,0.008375,0.006792,-0.001583
388,0.008416,0.007,-0.001416
389,0.0085,0.006791,-0.001709
390,0.00825,0.00675,-0.0015
391,0.008334,0.006875,-0.001459
392,0.00825,0.006834,-0.001416
393,0.008209,0.006875,-0.001334
394,0.008208,0.00675,-0.001458
395,0.008375,0.006875,-0.0015
396,0.008292,0.006834,-0.001458
397,0.008333,0.006917,-0.001416
398,0.008292,0.006833,-0.001459
399,0.008208,0.00675,-0.001458
400,0.008167,0.006833,-0.001334
401,0.00825,0.006833,-0.001417
402,0.008167,0.006875,-0.001292
403,0.008208,0.00675,-0.001458
404,0.008291,0.007,-0.001291
