repetition,system,payload_label,payload_bytes,payload_display,requests,errors,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,session_lookup_ms,arbitration_ms,tool_exec_ms,total_ms,tool_exec_share_pct
20,userspace,large,1048576,"1 MB (1,048,576 B)",2000,0,7.425,7.316,8.124,8.658,0.005,0.005,3.689,4.101,89.958
20,seccomp,small,100,100 B,2000,0,0.825,0.8,0.995,1.058,0.004,0.005,0.258,0.668,38.644
20,seccomp,medium,10240,"10 KB (10,240 B)",2000,0,0.969,0.976,1.116,1.186,0.004,0.005,0.308,0.768,40.156
20,seccomp,large,1048576,"1 MB (1,048,576 B)",2000,0,9.57,9.468,10.342,11.069,0.005,0.006,3.733,6.149,60.68
21,seccomp,small,100,100 B,2000,0,0.816,0.795,0.972,1.044,0.004,0.005,0.254,0.659,38.448
21,seccomp,medium,10240,"10 KB (10,240 B)",2000,0,0.932,0.901,1.1,1.157,0.004,0.005,0.296,0.737,40.102
21,seccomp,large,1048576,"1 MB (1,048,576 B)",2000,0,9.543,9.39,10.413,11.112,0.005,0.007,3.725,6.15,60.484
21,kernel,small,100,100 B,2000,0,0.849,0.811,1.026,1.088,0.004,0.028,0.265,0.705,37.592
21,kernel,medium,10240,"10 KB (10,240 B)",2000,0,0.859,0.843,0.966,1.091,0.004,0.027,0.276,0.695,39.609
21,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,7.247,7.126,7.985,8.574,0.005,0.035,3.767,4.21,89.46
21,userspace,small,100,100 B,2000,0,0.792,0.768,0.958,1.019,0.004,0.004,0.257,0.662,38.748
21,userspace,medium,10240,"10 KB (10,240 B)",2000,0,0.854,0.818,1.024,1.091,0.004,0.004,0.283,0.695,40.702
21,userspace,large,1048576,"1 MB (1,048,576 B)",2000,0,7.538,7.401,8.303,9.015,0.005,0.005,3.747,4.178,89.905
22,kernel,small,100,100 B,2000,0,0.816,0.8,0.911,1.036,0.004,0.027,0.253,0.678,37.288
22,kernel,medium,10240,"10 KB (10,240 B)",2000,0,0.89,0.851,1.034,1.164,0.004,0.028,0.289,0.721,39.608
22,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,7.254,7.136,7.984,8.682,0.005,0.035,3.759,4.21,89.274
22,userspace,small,100,100 B,2000,0,0.854,0.835,1.014,1.064,0.005,0.004,0.276,0.711,38.846
22,userspace,medium,10240,"10 KB (10,240 B)",2000,0,0.843,0.814,1.009,1.082,0.004,0.004,0.281,0.685,40.97
22,userspace,large,1048576,"1 MB (1,048,576 B)",2000,0,7.392,7.271,8.1,9.351,0.006,0.005,3.711,4.13,89.866
22,seccomp,small,100,100 B,2000,0,0.85,0.813,1.019,1.084,0.004,0.005,0.264,0.687,38.428
22,seccomp,medium,10240,"10 KB (10,240 B)",2000,0,0.948,0.881,1.105,1.198,0.005,0.005,0.3,0.739,40.013
22,seccomp,large,1048576,"1 MB (1,048,576 B)",2000,0,9.544,9.439,10.324,10.987,0.006,0.007,3.719,6.136,60.588
23,seccomp,small,100,100 B,2000,0,0.86,0.819,1.028,1.081,0.004,0.005,0.266,0.696,38.246
23,seccomp,medium,10240,"10 KB (10,240 B)",2000,0,0.901,0.869,1.076,1.147,0.004,0.005,0.285,0.715,39.777
23,seccomp,large,1048576,"1 MB (1,048,576 B)",2000,0,10.518,9.677,12.104,23.862,0.007,0.008,4.074,6.828,60.894
23,kernel,small,100,100 B,2000,0,0.89,0.853,1.07,1.259,0.005,0.03,0.281,0.736,38.109
23,kernel,medium,10240,"10 KB (10,240 B)",2000,0,0.9,0.854,1.023,1.18,0.004,0.029,0.299,0.731,39.565
23,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,7.242,7.125,8.002,8.995,0.005,0.035,3.769,4.218,89.362
23,userspace,small,100,100 B,2000,0,0.811,0.777,0.979,1.035,0.004,0.004,0.264,0.678,38.908
23,userspace,medium,10240,"10 KB (10,240 B)",2000,0,0.826,0.812,0.92,1.026,0.004,0.004,0.275,0.672,40.869
23,userspace,large,1048576,"1 MB (1,048,576 B)",2000,0,7.568,7.459,8.305,9.001,0.005,0.005,3.772,4.19,90.03
24,userspace,small,100,100 B,2000,0,0.814,0.777,0.985,1.046,0.004,0.004,0.265,0.68,39.053
24,userspace,medium,10240,"10 KB (10,240 B)",2000,0,0.822,0.809,0.918,1.033,0.004,0.004,0.274,0.668,40.953
24,userspace,large,1048576,"1 MB (1,048,576 B)",2000,0,7.676,7.55,8.497,9.387,0.006,0.005,3.827,4.249,90.058
24,kernel,small,100,100 B,2000,0,0.849,0.808,1.026,1.085,0.004,0.028,0.264,0.706,37.44
24,kernel,medium,10240,"10 KB (10,240 B)",2000,0,0.861,0.844,0.977,1.088,0.004,0.027,0.277,0.697,39.667
24,kernel,large,1048576,"1 MB (1,048,576 B)",2000,0,7.412,7.182,8.155,9.454,0.006,0.037,3.822,4.288,89.23
24,seccomp,small,100,100 B,2000,0,0.866,0.828,1.03,1.089,0.005,0.005,0.271,0.699,38.801
