mode,path,sample_idx,status,decision,e2e_ms,arbitration_ms,total_ms
userspace_semantic_plane,defer,0,error,DEFER,2.356,0.016,1.756
userspace_semantic_plane,defer,1,error,DEFER,0.694,0.01,0.474
userspace_semantic_plane,defer,2,error,DEFER,2.733,0.012,2.337
userspace_semantic_plane,defer,3,error,DEFER,1.869,0.009,1.423
userspace_semantic_plane,defer,4,error,DEFER,1.101,0.034,0.814
userspace_semantic_plane,defer,5,error,DEFER,0.874,0.009,0.589
userspace_semantic_plane,defer,6,error,DEFER,0.901,0.009,0.667
userspace_semantic_plane,defer,7,error,DEFER,0.801,0.009,0.487
userspace_semantic_plane,defer,8,error,DEFER,0.794,0.008,0.421
userspace_semantic_plane,defer,9,error,DEFER,1.335,0.011,0.785
userspace_semantic_plane,defer,10,error,DEFER,2.339,0.011,2.007
userspace_semantic_plane,defer,11,error,DEFER,1.78,0.312,1.492
userspace_semantic_plane,defer,12,error,DEFER,1.905,0.011,0.572
userspace_semantic_plane,defer,13,error,DEFER,2.299,0.065,1.061
userspace_semantic_plane,defer,14,error,DEFER,1.574,0.014,1.248
userspace_semantic_plane,defer,15,error,DEFER,1.058,0.011,0.818
userspace_semantic_plane,defer,16,error,DEFER,0.982,0.009,0.529
userspace_semantic_plane,defer,17,error,DEFER,0.596,0.009,0.425
userspace_semantic_plane,defer,18,error,DEFER,0.836,0.009,0.42
userspace_semantic_plane,defer,19,error,DEFER,2.093,0.026,1.725
userspace_semantic_plane,defer,20,error,DEFER,1.501,0.013,1.019
userspace_semantic_plane,defer,21,error,DEFER,0.697,0.008,0.518
userspace_semantic_plane,defer,22,error,DEFER,0.673,0.008,0.433
userspace_semantic_plane,defer,23,error,DEFER,2.084,0.014,1.73
userspace_semantic_plane,defer,24,error,DEFER,1.102,0.011,0.594
userspace_semantic_plane,defer,25,error,DEFER,1.445,0.011,1.158
userspace_semantic_plane,defer,26,error,DEFER,0.989,0.01,0.75
userspace_semantic_plane,defer,27,error,DEFER,0.953,0.01,0.519
userspace_semantic_plane,defer,28,error,DEFER,0.714,0.009,0.538
userspace_semantic_plane,defer,29,error,DEFER,0.853,0.011,0.495
userspace_semantic_plane,defer,30,error,DEFER,1.051,0.011,0.749
userspace_semantic_plane,defer,31,error,DEFER,1.444,0.01,1.114
userspace_semantic_plane,defer,32,error,DEFER,1.023,0.011,0.807
userspace_semantic_plane,defer,33,error,DEFER,1.054,0.01,0.739
userspace_semantic_plane,defer,34,error,DEFER,1.239,0.087,0.883
userspace_semantic_plane,defer,35,error,DEFER,0.966,0.012,0.698
userspace_semantic_plane,defer,36,error,DEFER,1.095,0.012,0.717
userspace_semantic_plane,defer,37,error,DEFER,1.794,0.013,1.266
userspace_semantic_plane,defer,38,error,DEFER,0.883,0.011,0.54
userspace_semantic_plane,defer,39,error,DEFER,0.785,0.014,0.538
